trial,reservoir_size,spectral_radius,reservoir_connectivity,input_scaling,washout,alpha,ridge,mean_val_loss,std_val_loss
1.0,78.0,0.7072531190145733,0.03475263865322074,0.3008896643339405,50.0,0.7090295386806201,3.704403371702265e-05,0.014243555010762066,0.02594051255281713
2.0,72.0,0.8712428286102215,0.012860441153360524,0.18432571587543323,100.0,0.5548197592930262,1.2768617541493367e-08,0.002686623693443835,0.0008385328365195101
3.0,100.0,0.907645687747497,0.07311924762312123,0.4775678388654929,300.0,0.6303391154883179,1.7287087360389226e-05,0.003848311584442854,0.0022941529347043975
4.0,51.0,0.9200541364676325,0.024369338473920116,0.4803529583381523,200.0,0.2399315498306034,6.742986478915493e-05,0.0005179569125175476,0.0005037738301931235
5.0,136.0,0.7296409801907561,0.04419345705736037,0.42308144243616563,200.0,0.6433534282302019,1.6924392672775358e-05,0.0009520038147456944,0.0006008346022380253
6.0,167.0,0.8555061465218632,0.09758041875814336,0.4406809394875182,500.0,0.3638604532663836,3.2700861781185527e-06,0.0013231109012849628,0.0013999931046415506
7.0,142.0,0.867432122124461,0.07341146525934311,0.141241945290096,100.0,0.7957615067098227,8.72742414179296e-05,0.03659267090260983,0.051389214755835626
8.0,109.0,0.9512802633590283,0.04421136025352496,0.5080692721315919,200.0,0.24638868744047634,2.6368340665125156e-07,0.002936225337907672,0.0028655542929801017
9.0,118.0,0.9035278909029798,0.07151928989830006,0.1642622586206935,100.0,0.5807258893267372,9.533309674158782e-08,0.0038425923441536723,0.0065272224446207535
10.0,168.0,0.8100420781097178,0.09905710155729358,0.6759997838686835,500.0,0.29765365657324205,1.9821245365765115e-07,0.004185098997550085,0.0065145512804511375
