trial,reservoir_size,spectral_radius,reservoir_connectivity,input_scaling,washout,alpha,ridge,mean_val_loss,std_val_loss
1.0,78.0,0.7072531190145733,0.03475263865322074,0.3008896643339405,50.0,0.7090295386806201,3.704403371702265e-05,0.009594872035086155,0.0192866368195172
2.0,72.0,0.8712428286102215,0.012860441153360524,0.18432571587543323,100.0,0.5548197592930262,1.2768617541493367e-08,,
3.0,100.0,0.907645687747497,0.07311924762312123,0.4775678388654929,300.0,0.6303391154883179,1.7287087360389226e-05,0.005291896054404788,0.00350231656714986
4.0,51.0,0.9200541364676325,0.024369338473920116,0.4803529583381523,200.0,0.2399315498306034,6.742986478915493e-05,0.0004559554014122114,0.0003799474233483122
5.0,136.0,0.7296409801907561,0.04419345705736037,0.42308144243616563,200.0,0.6433534282302019,1.6924392672775358e-05,0.07625594562850893,0.17636201521788664
6.0,167.0,0.8555061465218632,0.09758041875814336,0.4406809394875182,500.0,0.3638604532663836,3.2700861781185527e-06,0.0035955280414782464,0.003951299833810769
7.0,142.0,0.867432122124461,0.07341146525934311,0.141241945290096,100.0,0.7957615067098227,8.72742414179296e-05,0.19680142907891424,0.4581988948583251
8.0,109.0,0.9512802633590283,0.04421136025352496,0.5080692721315919,200.0,0.24638868744047634,2.6368340665125156e-07,0.003354582967585884,0.0049614105370837215
9.0,118.0,0.9035278909029798,0.07151928989830006,0.1642622586206935,100.0,0.5807258893267372,9.533309674158782e-08,0.0032602916500763966,0.004984510946248128
10.0,168.0,0.8100420781097178,0.09905710155729358,0.6759997838686835,500.0,0.29765365657324205,1.9821245365765115e-07,0.002946644864277914,0.004890154763401064
11.0,64.0,0.7664239408695902,0.012889021951363398,0.3839077432531738,200.0,0.15956974469039253,4.4930835733890815e-05,,
12.0,195.0,0.9541466116770739,0.038321009271863014,0.6898947987653921,300.0,0.8962148384980322,3.727412701714296e-06,2.1252253793179987,2.98248566106177
13.0,86.0,0.7768152482844352,0.032196475692458516,0.6052313207468357,200.0,0.7723124304870321,5.172914606042251e-07,0.48488930743187664,0.9138251495312167
14.0,199.0,0.8158261464907152,0.029738868324155503,0.9977838458455992,500.0,0.5441642514006679,1.0546992328849904e-05,0.0038078974292147906,0.004046023230613374
15.0,78.0,0.7443239826109956,0.024398380155020525,0.7124330921466944,500.0,0.15717493553676143,3.361066815659891e-07,0.018008107200148515,0.04057040026130935
16.0,169.0,0.8534431600787498,0.09739705398522563,0.8747017320110483,50.0,0.7122550692308667,2.872149037394811e-08,0.2569915499771014,0.5231959555461811
17.0,187.0,0.9177545618815668,0.07917388593917014,0.40615792572794074,200.0,0.4912887256021945,6.52972400783503e-07,3.693342429009499,7.734968365094204
18.0,117.0,0.9818475486723331,0.07857659791468583,0.5569135071438928,50.0,0.8834667128530902,1.5623530004510363e-07,0.3633489454165101,0.3127109610006378
19.0,179.0,0.87660136131707,0.023755534169467137,0.7862597200676361,500.0,0.9581497728881525,4.894815453366711e-05,46.4904344022274,79.48294560136253
20.0,50.0,0.8736939294934664,0.05397451372260532,0.20068095278880554,200.0,0.8908496900408658,2.1215932131496612e-05,0.021528102224692702,0.01534144123360867
21.0,128.0,0.769441169998037,0.03167844332025098,0.6106212493200189,50.0,0.1770881068610909,8.789453103119961e-07,0.002488496998557821,0.0054099814460831
22.0,67.0,0.9836155031664269,0.05794355525765642,0.2131844603683972,300.0,0.9521638117344918,4.576229916204226e-08,1821.836050260067,5428.067304740261
23.0,185.0,0.9530055819147246,0.04808241461807983,0.29061838489787384,500.0,0.779738676972225,5.747388152459222e-06,0.17227794006466865,0.4024721398486453
24.0,129.0,0.8157077669992544,0.07045182636744549,0.43607845227636444,500.0,0.5063375272520168,9.808948506861589e-08,0.0045928624225780364,0.00773568760246114
25.0,66.0,0.798044813022762,0.062947784661151,0.3071032593369193,100.0,0.10647175508658419,6.782093709179413e-06,0.001849718179437332,0.003198920122667972
26.0,65.0,0.7663931173052347,0.09148780117055152,0.8736718602283718,50.0,0.5627405078277302,1.2998973424146914e-07,0.005954880666104145,0.011963782722919411
27.0,174.0,0.7621286741374271,0.02190806638525225,0.9419628165226039,500.0,0.6185904847488098,9.375381945840346e-08,0.02791429726057686,0.07653040680222502
28.0,171.0,0.9341741293523266,0.027136892292568993,0.187237732805941,300.0,0.41886780993059847,4.4097006049413813e-07,0.002622615009022411,0.003685464411885824
29.0,63.0,0.8952757187150574,0.09857486902293695,0.18857608403676301,300.0,0.7553922295970644,1.593565957021394e-05,0.05884197629056871,0.11521446596608916
30.0,77.0,0.7721103368368828,0.027118801759673038,0.5037521930498188,300.0,0.26513923220851,7.08781337049772e-07,0.014497026598837693,0.0415777614394592
31.0,69.0,0.8285079160655024,0.08752141942856476,0.5952927812048633,50.0,0.6869304045986698,1.4532882170554487e-06,0.003835454204818234,0.0035888542373209266
32.0,53.0,0.9810089146125778,0.09337302847073149,0.8638261609728749,100.0,0.46577265215722485,8.422357502078757e-07,0.0018996189086465166,0.0029333286949377257
33.0,152.0,0.961708430998059,0.02481734092613742,0.1019398405162838,300.0,0.3386827523549368,1.3686185050863868e-05,0.002113826405548025,0.0049117374794810905
34.0,166.0,0.7827222763946069,0.07269323532401463,0.7574547856739193,500.0,0.6956841807556707,8.844751724694702e-07,0.003943339025136083,0.004106448052168348
35.0,98.0,0.7860452693934236,0.0971838428472243,0.6212622617346306,500.0,0.15486181432886426,1.7964669800991188e-07,0.09462245019967667,0.2721615199942543
36.0,62.0,0.8694115023931016,0.055256534462756225,0.8674479028434569,100.0,0.15119162175581607,1.0747661702900965e-06,0.0009656140842707828,0.0005125984173742874
37.0,97.0,0.7198711864840998,0.016116477703818154,0.8756372817731165,300.0,0.20789795255241178,3.6404012642434224e-05,0.0018909913429524749,0.002422941543311411
